client,flv_ok,connect_ms,window_bytes,max_stall_ms,cv_percent,err
313,true,93.4,4906937,4991,40.88,""
314,true,137.5,10448929,4941,88.94,""
315,true,92.2,4580760,6749,73.77,"unexpected EOF"
316,true,86.0,8147336,4993,87.83,""
317,true,47.7,10311827,5041,79.08,""
318,true,117.5,10470026,4960,80.02,""
319,true,109.3,10448929,4982,84.88,""
320,true,116.8,10470026,4967,58.30,""
321,true,96.5,10470026,4968,68.17,""
322,true,78.7,9951334,4995,68.14,""
323,true,79.9,5371712,4959,50.16,""
324,true,32.6,8172408,5029,73.27,""
325,true,79.1,7340106,4992,68.82,""
326,true,80.0,10525626,4983,77.65,""
327,true,80.4,7728736,4987,77.50,""
328,true,78.7,9928338,4995,75.56,""
329,true,79.4,5248413,4953,58.76,""
330,true,80.3,10470026,4994,59.26,""
331,true,80.8,5344838,4995,70.49,""
332,true,79.8,10052614,4993,73.34,""
333,true,80.6,4326323,4982,51.10,""
334,true,107.1,10525626,4955,77.64,""
335,true,107.4,10525626,4964,72.81,""
336,true,80.4,4493061,4996,42.06,""
337,true,108.2,4919893,4969,73.31,""
338,true,107.5,2490936,4971,42.21,""
339,true,108.4,10448929,4956,56.08,""
340,true,76.8,10470026,4997,81.37,""
341,true,107.9,5497327,4920,86.47,""
342,true,107.9,10336071,4960,87.25,""
343,true,108.3,3319000,5023,55.52,"unexpected EOF"
344,true,76.9,4438509,4966,44.33,""
345,true,77.2,10470026,4998,72.89,""
346,true,108.8,1014762,7925,76.41,"unexpected EOF"
347,true,77.0,10448929,4987,68.67,""
348,true,77.5,10448929,4964,65.52,""
349,true,80.1,10470026,5000,85.83,""
350,true,79.4,10470026,4953,68.05,""
351,true,79.8,10448929,4983,77.00,""
352,true,107.2,10470026,4949,56.23,""
353,true,32.9,10470026,5006,76.75,""
354,true,107.4,10448929,4958,77.62,""
355,true,108.6,10232540,4962,100.13,""
356,true,75.3,10448929,4971,62.13,""
357,true,77.4,10161695,4987,69.48,""
358,true,79.6,4077680,4990,59.00,""
359,true,33.7,10470026,5035,76.95,""
360,true,80.1,10525626,4956,68.43,""
361,true,80.6,8898403,4971,83.34,""
362,true,81.0,10470026,4995,72.41,""
363,true,80.8,10525626,4978,61.27,""
364,true,77.3,10470026,5003,83.10,""
365,true,77.7,5379000,6941,55.62,""
366,true,81.0,10526080,4979,87.75,""
367,true,77.9,10448929,4997,66.24,""
368,true,78.7,10470026,4979,71.09,""
369,true,79.1,8284546,4992,60.08,""
370,true,79.6,5283075,4988,54.60,""
371,true,123.5,689,0,0.00,"unexpected EOF"
372,true,124.7,10470026,4955,91.11,""
373,true,76.7,10161695,4979,72.36,""
374,true,125.1,10525626,4947,96.80,""
375,true,78.5,5322990,4997,52.58,""
376,true,79.2,10470026,4961,91.64,""
377,true,79.4,10448929,4988,63.76,""
378,true,107.8,10161695,4959,58.02,""
379,true,124.0,6571458,4929,70.03,""
380,true,125.2,3205571,4952,67.02,""
381,true,125.6,10448929,4956,59.21,""
382,true,126.0,10525626,4941,72.43,""
383,true,123.1,10448929,4909,75.16,""
384,true,126.4,9928338,4913,68.37,""
385,true,102.0,10470026,4977,73.25,""
386,true,102.5,9928338,4969,58.89,""
387,true,103.1,10448929,4975,65.87,""
388,true,103.0,10525626,4934,85.32,""
389,true,103.8,10387517,4968,60.71,""
390,true,104.7,10470026,4932,71.43,""
391,true,126.7,9121384,4927,60.09,""
392,true,55.8,9928338,5018,62.04,""
393,true,105.4,10470026,4965,99.26,""
394,true,106.1,7531646,4953,71.07,""
395,true,35.6,10470026,5035,73.79,""
396,true,103.0,9112522,4970,63.77,""
397,true,80.4,4176821,5847,77.19,"unexpected EOF"
398,true,108.4,10525626,4961,85.48,""
399,true,108.7,10448929,4960,60.94,""
400,true,108.8,10470026,4921,68.21,""
401,true,35.2,10448929,5019,58.93,""
402,true,69.7,8875597,5021,60.00,""
403,true,68.7,10470026,4982,66.14,""
404,true,122.9,10525626,4921,71.97,""
405,true,123.2,10161695,4964,79.48,""
406,true,66.0,8955369,5005,81.28,""
407,true,92.5,10470026,4949,79.97,""
408,true,92.5,10525626,4972,75.34,""
409,true,122.0,4248222,4931,34.63,""
410,true,47.4,10525626,5045,76.57,""
411,true,92.9,10448929,4997,66.44,""
412,true,123.1,10470026,4961,77.68,""
413,true,47.7,10470026,5026,76.02,""
414,true,57.5,10470026,5036,66.88,""
415,true,40.8,10448929,5053,73.24,""
416,true,38.2,10525626,5051,90.07,""
417,true,35.9,2847225,7504,60.38,"unexpected EOF"
418,true,108.3,10525626,4953,84.29,""
419,true,36.9,10387517,5037,57.44,""
420,true,80.7,10116063,5002,86.85,""
421,true,68.3,10525626,4986,59.21,""
422,true,58.8,10470026,5028,67.59,""
423,true,48.5,10525626,4998,63.75,""
424,true,36.4,10448929,5048,70.86,""
425,true,36.3,10396793,5037,67.47,""
426,true,36.0,10525626,5023,66.41,""
427,true,37.0,9928338,5019,86.10,""
428,true,136.1,10470026,4947,79.49,""
429,true,93.6,10311827,4982,77.84,""
430,true,60.7,10116063,5016,86.29,""
431,true,80.6,9139243,5004,85.07,""
432,true,54.9,10542424,5008,70.97,""
433,true,55.0,4618454,5031,91.51,""
434,true,54.9,10448929,5029,67.25,""
435,true,64.8,7109872,4984,51.00,""
436,true,54.4,10470026,4988,70.65,""
437,true,34.6,10470026,5046,60.27,""
438,true,35.9,3750071,5053,42.90,""
439,true,79.6,7484612,4999,63.93,""
440,true,33.9,10470026,5017,71.28,""
441,true,35.8,4924349,5042,121.96,""
442,true,104.6,3361758,4977,106.22,"unexpected EOF"
443,true,81.5,7719386,4992,88.75,""
444,true,105.8,4955629,4957,89.31,""
445,true,115.8,10470026,4958,67.80,""
446,true,115.9,6997331,4953,44.29,""
447,true,115.2,5477615,4958,54.66,""
448,true,88.8,10448929,4984,70.50,""
449,true,116.2,10470026,4933,70.44,""
450,true,117.2,10241797,4957,56.82,""
451,true,117.9,10326309,4970,72.94,""
452,true,108.9,7248213,4942,69.85,""
453,true,84.1,10079214,4991,59.29,""
454,true,84.7,5801072,4981,52.98,""
455,true,109.4,10470026,4936,50.94,""
456,true,60.7,10241797,5018,120.42,""
457,true,137.1,9175767,4949,86.45,""
458,true,58.3,7422368,5008,76.54,"unexpected EOF"
459,true,116.8,10470026,4931,95.83,""
460,true,116.6,7295777,4927,80.45,""
461,true,109.5,10526080,4932,73.44,""
462,true,69.1,7557436,5019,50.70,""
463,true,49.3,10470026,5040,64.27,""
464,true,55.3,6059508,7734,80.32,""
465,true,38.1,10326309,5040,89.24,""
466,true,38.0,10285308,5012,69.36,""
467,true,64.8,4542608,5024,80.61,""
468,true,46.4,3245806,5005,93.71,"unexpected EOF"
469,true,118.4,6654595,4958,55.31,""
470,true,44.5,10470026,5028,104.59,""
471,true,36.4,7771149,5030,48.60,""
472,true,117.7,10470026,4968,82.86,""
473,true,37.0,10038038,5034,65.16,""
474,true,36.5,10470026,5045,64.78,""
475,true,36.1,10470026,5035,69.77,""
476,true,35.7,5047436,5012,52.32,""
477,true,37.5,8941815,5037,66.34,""
478,true,63.8,10525626,5019,56.04,""
479,true,62.5,10525626,5022,87.70,""
480,true,36.8,10470026,5053,83.73,""
481,true,33.6,10448929,5046,68.44,""
482,true,81.7,10344371,5000,66.10,""
483,true,56.7,9983043,5022,62.80,""
484,true,39.7,8500650,5001,91.35,""
485,true,111.1,3150055,4958,45.78,""
486,true,110.8,6170993,4948,51.57,""
487,true,79.5,4996972,4971,37.24,""
488,true,105.2,8782052,4945,85.87,""
489,true,105.7,6329378,6539,60.70,"unexpected EOF"
490,true,106.8,10176293,4976,85.57,""
491,true,105.7,4913443,5464,41.93,""
492,true,107.3,10100132,4957,77.03,""
493,true,107.6,9903911,4968,68.87,""
494,true,98.1,10448929,4972,67.60,""
495,true,108.4,9983043,4976,102.89,""
496,true,58.2,6737478,4981,51.84,""
497,true,93.0,10525626,4991,69.33,""
498,true,97.0,10525626,4984,59.62,""
499,true,97.0,10433277,4980,72.46,""
500,true,108.9,6816567,4951,79.51,""
501,true,98.2,10232540,4979,106.02,""
502,true,108.2,10470026,4948,81.66,""
503,true,108.4,9630915,4967,67.57,""
504,true,108.6,9703415,4977,73.34,""
505,true,109.0,10542424,4963,63.45,""
506,true,98.9,10470026,4982,69.40,""
507,true,99.9,10161695,4938,73.60,""
508,true,59.3,10470026,5020,65.97,""
